Business Name,Contact Name,Website,Email,WhatsApp,Industry,Location,Date Contacted,Status,Notes
Tailored Kitchens,Hannah,,,,Kitchen Design,Cheshire,,New,Existing contact — ask for testimonial + logo
Highwood,,,,,Landscaping / Gardens,Cheshire,,New,Existing contact — ask for testimonial + logo
Cheshire Surveys,,,,,Surveying,Cheshire,,New,Existing contact — ask for testimonial + logo
Mersey Roofing Solutions,,,,, Roofing,Liverpool,,New,
Liverpool Smile Studio,,,,, Dental,Liverpool,,New,
The Brow & Co,,,,, Beauty / Aesthetics,Liverpool,,New,
Anfield Property Management,,,,,Estate Agency,Liverpool,,New,
Chester Legal Services,,,,,Solicitors,Chester,,New,
NW Electrical Contractors,,,,,Electrician,Wirral,,New,
Peak Physio & Sports Clinic,,,,,Physiotherapy,Cheshire,,New,
Bold Street Coffee,,,,,Hospitality / Café,Liverpool,,New,
Mersey Wedding Venues,,,,,Events / Weddings,Liverpool,,New,
Formby Landscaping Co,,,,,Landscaping,Sefton,,New,
Cheshire Oak Interiors,,,,,Interior Design,Cheshire,,New,
Liverpool Letting Agents,,,,,Property,Liverpool,,New,
NW Accountancy Group,,,,,Accountants,Manchester,,New,
Birkenhead Builders,,,,,Construction,Wirral,,New,
Chester Flooring Centre,,,,,Flooring / Trade,Chester,,New,
Warrington Car Centre,,,,,Car Dealership,Warrington,,New,
Deeside Dental Practice,,,,,Dental,Flintshire,,New,
Halton Cleaning Services,,,,,Commercial Cleaning,Runcorn,,New,
Southport Gym & Fitness,,,,,Fitness Studio,Southport,,New,
NW Skip Hire & Waste,,,,,Waste Management,Liverpool,,New,
Crewe Plumbing Services,,,,,Plumber,Crewe,,New,
The Old Hall Restaurant,,,,,Restaurant / Hospitality,Cheshire,,New,
Liverpool Tattoo Collective,,,,,Beauty / Tattoo Studio,Liverpool,,New,
Ellesmere Port Auto Repair,,,,,Garage / Auto,Ellesmere Port,,New,
Cheshire Pet Grooming,,,,,Pet Services,Cheshire,,New,
Macclesfield Accountants,,,,,Accountants,Macclesfield,,New,
Wirral Driving School,,,,,Driving School,Wirral,,New,
