Business Name,City,Industry,Contact Name,Website,Email,WhatsApp,Date Contacted,Status,Notes
DoLocal,Liverpool,Digital Marketing Agency,,dolocal.co.uk,,,,Not Contacted,Small award-winning SEO & web design agency — AI content tools or automated reporting could save them hours per week
Mayfly Internet Marketing,Liverpool,SEO / Digital Agency,,may-fly.co.uk,,,,Not Contacted,Boutique Liverpool SEO agency — AI keyword research & client reporting automation pitch
Reckless Agency,Liverpool,Digital Marketing,,r3.agency,,,,Not Contacted,Small digital agency in Liverpool & Chester — AI-powered campaign analytics or chatbot resell
Blaze Media,Liverpool,Digital Agency,,blazemedia.co.uk,,,,Not Contacted,Small Liverpool digital agency — AI tools for content creation & client management
Be Bold Studios,Liverpool,Web & E-Commerce,,be-bold.co.uk,,,,Not Contacted,Small web/e-commerce studio in Liverpool/Wirral — AI product description generator or chatbot upsell
LJS Accounting Services,Liverpool,Accountancy / Bookkeeping,,ljsaccountingservices.com,,,,Not Contacted,Small Liverpool accountancy firm — AI for invoice processing & automated bookkeeping summaries
Coburn McKenna,Liverpool,Chartered Accountants,,coburnmckenna.co.uk,,,,Not Contacted,Small Liverpool chartered accountants — AI document extraction & tax prep automation
Your Liverpool Accountants,Liverpool,Accountancy / Tax,,yourliverpoolaccountants.co.uk,,,,Not Contacted,Boutique Liverpool tax & accounts firm — AI-powered client onboarding & query chatbot
Marshall Property,Liverpool,Independent Estate Agent,,marshallproperty.co.uk,,,,Not Contacted,Small independent Liverpool estate agent — AI chatbot for instant property enquiries & lead qualification
Red Rooves,Liverpool,Independent Estate Agent,,redrooves.co.uk,,,,Not Contacted,Small Merseyside estate agent — WhatsApp AI bot to handle viewing bookings & tenant queries
Volume Marketing,Manchester,SEO / Web Design,,volumemarketing.co.uk,,,,Not Contacted,Small multi-city web & SEO agency — AI SEO audit tools or white-label chatbot for their clients
MadeByShape,Manchester,Web Design / E-Commerce,,madebyshape.co.uk,,,,Not Contacted,Small Manchester web design studio — AI product description & image alt-text generation for e-commerce clients
PixelKicks,Manchester,E-Commerce / Web Dev,,pixelkicks.co.uk,,,,Not Contacted,Small Manchester e-commerce agency — AI recommendation engine or abandoned cart chatbot
PPC Geeks,Manchester,PPC Agency,,ppcgeeks.co.uk,,,,Not Contacted,9-person PPC agency near Manchester — AI ad copy generation & automated performance reporting
Buddha Beauty,Manchester,Beauty Salon,,buddha-beauty.co.uk,,,,Not Contacted,Small independent vegan beauty salon in Chorlton — AI booking assistant & WhatsApp appointment reminders
Beauty and Bubbles,Manchester,Nail & Beauty Salon,,beautyandbubbles.co.uk,,,,Not Contacted,Small city-centre nail salon — AI-powered online booking bot & automated review follow-up
Melissa Salons,Manchester,Hair Salon,,melissa-salons.com,,,,Not Contacted,Award-winning boutique hair salon — WhatsApp AI for booking confirmations & upsell suggestions
Manchester Beauty and Spa,Manchester,Beauty Spa,,manchesterbeautyandspa.com,,,,Not Contacted,Small luxury spa — AI chatbot for treatment enquiries & automated loyalty messaging
Monetta Accountants,Manchester,Accountancy,,monetta.co.uk,,,,Not Contacted,Small accountancy firm across NW England — AI for automated financial report summaries & client alerts
Williamson & Croft,Manchester,Accountancy / Tax,,williamsoncroft.co.uk,,,,Not Contacted,Small award-winning accountancy firm — AI document handling & tax deadline reminder automation
Story of Home,London,Boutique Estate Agent,,storyofhome.co.uk,,,,Not Contacted,Tiny boutique London estate agent — AI property description writer & WhatsApp enquiry bot
Wilfords,London,Independent Estate Agent,,wilfords.com,,,,Not Contacted,Small prime London estate agency — AI for automated client matching & property alert emails
Estates East,London,Independent Estate Agent,,estateseast.co.uk,,,,Not Contacted,Small East London independent agent — AI chatbot for instant tenant/buyer responses
Independent London,London,Independent Estate Agent,,independentlondon.co.uk,,,,Not Contacted,Small tech-forward London estate agent — AI valuation tool & automated follow-up sequences
Properly,London,Independent Estate Agent,,properly.space,,,,Not Contacted,Small progressive London estate agent — AI for lead scoring & automated viewing scheduling
Daniel Cobb,London,Independent Estate Agent,,danielcobb.co.uk,,,,Not Contacted,Small family-run London agency — WhatsApp AI for landlord & tenant query handling
My Healthcare Clinic,London,Private GP & Dental,,myhealthcareclinic.com,,,,Not Contacted,Small multi-site private clinic — AI triage chatbot & automated appointment reminder system
Northway Clinic,London,Private Medical Clinic,,northwayclinic.co.uk,,,,Not Contacted,Small East London private clinic — AI-powered patient intake forms & billing query chatbot
reCOMPLY.ai,London,Compliance / Fintech Startup,,recomply.ai,,,,Not Contacted,Small AI compliance startup — tech collaboration or white-label AI module opportunity
Diesta,London,Fintech / Insurance Startup,,diesta.com,,,,Not Contacted,Small fintech startup in London — AI for payment workflow automation & anomaly detection
